Date,Open,High,Low,Close,Adj Close,Volume
2003-10-01,102.639999,102.750000,100.550003,101.739998,63.606064,860700
2003-11-01,101.330002,102.440002,100.550003,101.720001,63.593563,672600
2003-12-01,101.150002,102.800003,100.599998,102.150002,64.088478,1173800
2004-01-01,102.150002,103.790001,101.300003,102.599998,64.727509,1058400
2004-02-01,102.540001,103.519997,102.230003,103.489998,65.289040,777900
2004-03-01,103.349998,104.580002,102.699997,103.949997,65.757408,1777700
2004-04-01,103.779999,103.779999,100.620003,100.779999,63.904003,1642500
2004-05-01,100.650002,100.940002,98.860001,100.129997,63.651043,1129800
2004-06-01,99.800003,100.550003,98.849998,100.540001,64.083374,1590900
2004-07-01,100.290001,101.489998,100.019997,101.150002,64.676933,1660800
2004-08-01,101.080002,102.889999,100.760002,102.459999,65.721764,1863600
2004-09-01,102.309998,103.250000,101.559998,102.669998,66.066772,1743800
2004-10-01,102.260002,103.440002,101.760002,103.239998,66.640465,1055700
2004-11-01,102.889999,103.040001,101.970001,102.199997,66.173431,1631800
2004-12-01,101.949997,103.110001,101.500000,102.400002,66.482582,2292800
2005-01-01,102.339996,103.080002,102.059998,102.900002,67.208359,2301700
2005-02-01,102.500000,103.500000,102.059998,102.209999,66.757690,2129700
2005-03-01,101.690002,102.269997,100.250000,100.930000,66.120216,3359900
2005-04-01,101.239998,102.489998,100.720001,102.320000,67.219528,2768100
2005-05-01,102.089996,102.900002,101.510002,102.830002,67.784973,2653800
2005-06-01,102.690002,103.470001,102.199997,103.379997,68.370705,2735500
2005-07-01,102.940002,102.959999,101.750000,101.980003,67.673828,3075400
2005-08-01,101.589996,102.910004,100.970001,102.849998,68.471725,2929500
2005-09-01,102.540001,102.809998,101.300003,101.550003,67.826408,3541100
2005-10-01,101.000000,101.239998,100.029999,100.209999,67.153397,3403600
2005-11-01,100.080002,100.849998,99.339996,100.220001,67.383705,4019200
2005-12-01,99.900002,101.139999,99.360001,100.589996,67.879044,5998700
2006-01-01,100.470001,101.349998,100.160004,100.529999,68.355568,3622300
2006-02-01,100.150002,100.570000,99.750000,100.320000,68.212791,3279600
2006-03-01,100.120003,100.150002,98.699997,99.080002,67.619209,5258400
2006-04-01,98.529999,98.959999,97.949997,98.550003,67.508484,4148000
2006-05-01,98.089996,98.550003,97.220001,97.980003,67.378517,4671900
2006-06-01,97.639999,98.440002,96.000000,97.440002,67.263130,5634400
2006-07-01,96.989998,98.610001,96.709999,98.400002,68.192314,4493400
2006-08-01,98.180000,99.720001,97.910004,99.550003,69.265114,4823000
2006-09-01,99.150002,100.529999,98.860001,100.160004,69.980423,4175700
2006-10-01,99.739998,100.430000,99.059998,100.430000,70.447205,5042000
2006-11-01,100.050003,101.129997,99.379997,101.070000,71.190384,5446200
2006-12-01,100.639999,101.029999,99.610001,99.699997,70.521721,8108000
2007-01-01,100.000000,100.190002,99.339996,99.629997,71.011543,8470700
2007-02-01,99.760002,101.669998,99.220001,100.849998,71.881134,6523500
2007-03-01,100.699997,100.870003,100.070000,100.260002,71.743607,7121200
2007-04-01,100.190002,100.459999,99.459999,100.459999,72.168694,6524500
2007-05-01,100.000000,100.769997,99.040001,99.160004,71.512253,8099500
2007-06-01,98.720001,98.769997,97.099998,98.360001,71.206085,8445500
2007-07-01,97.959999,99.010002,97.320000,98.989998,71.972824,9486700
2007-08-01,98.519997,100.089996,98.040001,99.820000,72.888237,7676800
2007-09-01,99.980003,101.000000,99.089996,100.019997,73.353676,10135200
2007-10-01,99.820000,101.199997,98.239998,100.610001,74.104874,12543200
2007-11-01,100.300003,102.419998,100.120003,102.000000,75.440910,12909200
2007-12-01,101.900002,102.580002,100.199997,101.169998,75.138443,10893600
2008-01-01,101.360001,105.489998,101.059998,103.510002,77.499901,12830800
2008-02-01,103.269997,103.430000,101.089996,102.930000,77.065636,12041100
2008-03-01,102.389999,103.470001,101.220001,102.680000,77.187920,10288400
2008-04-01,102.139999,103.000000,101.180000,102.599998,77.415833,11871700
2008-05-01,102.360001,102.879997,100.440002,100.980003,76.502678,11918800
2008-06-01,100.760002,101.300003,99.190002,100.400002,76.305695,10446900
2008-07-01,100.620003,101.059998,98.980003,100.410004,76.612282,9996200
2008-08-01,100.190002,101.260002,98.980003,100.750000,77.166817,8590600
2008-09-01,100.309998,102.080002,97.000000,98.589996,75.815948,17329400
2008-10-01,97.900002,99.449997,86.800003,95.959999,74.083160,16118800
2008-11-01,95.989998,99.769997,93.510002,98.449997,76.307365,12810500
2008-12-01,98.980003,104.349998,97.879997,104.199997,81.102196,15633200
2009-01-01,103.750000,105.320000,100.879997,102.129997,80.108330,17763300
2009-02-01,101.720001,102.260002,99.970001,100.690002,78.978836,12136900
2009-03-01,100.699997,102.889999,99.769997,101.470001,79.876884,15931300
2009-04-01,101.190002,101.910004,100.010002,101.639999,80.271385,14534100
2009-05-01,101.080002,102.500000,100.419998,102.029999,80.859116,13050400
2009-06-01,101.230003,102.370003,99.559998,102.150002,81.217056,12630100
2009-07-01,101.620003,103.330002,101.559998,103.099998,82.220634,13718700
2009-08-01,102.779999,104.019997,100.220001,104.019997,83.232994,12974200
2009-09-01,103.559998,104.919998,103.360001,104.919998,84.225952,12382400
2009-10-01,104.639999,107.949997,104.029999,104.809998,84.407097,11963500
2009-11-01,104.550003,105.830002,103.699997,105.830002,85.507179,10662800
2009-12-01,105.349998,105.419998,102.779999,103.190002,83.632713,16145800
2010-01-01,103.269997,104.720001,103.150002,104.650002,85.349556,13573800
2010-02-01,104.360001,104.739998,103.690002,104.529999,85.251694,12934300
2010-03-01,104.349998,104.970001,103.860001,104.199997,85.248932,17766400
2010-04-01,103.820000,104.949997,103.129997,104.889999,86.079422,14647600
2010-05-01,104.400002,106.269997,104.250000,105.709999,87.020454,16212100
2010-06-01,105.330002,107.349998,105.230003,107.250000,88.551582,16752600
2010-07-01,107.010002,107.959999,106.580002,107.849998,89.320717,13580700
2010-08-01,107.489998,109.089996,107.150002,108.940002,90.488441,16059200
2010-09-01,108.419998,108.870003,107.470001,108.650002,90.494171,19203500
2010-10-01,108.260002,108.930000,107.970001,108.550003,90.658890,15957500
2010-11-01,108.379997,108.989998,106.680000,107.370003,89.892647,16283400
2010-12-01,106.559998,106.650002,104.300003,105.750000,88.762039,25395100
2011-01-01,105.400002,106.000000,104.940002,105.660004,89.436928,16117100
2011-02-01,105.250000,105.650002,103.849998,105.650002,89.428436,13714000
2011-03-01,105.099998,106.540001,104.680000,105.129997,89.255241,16078100
2011-04-01,104.709999,106.489998,104.529999,106.459999,90.628860,11569400
2011-05-01,106.209999,107.620003,106.040001,107.459999,91.753334,14134000
2011-06-01,107.309998,107.879997,106.400002,106.669998,91.349983,25920400
2011-07-01,106.500000,108.199997,106.269997,108.160004,92.896553,17906300
2011-08-01,107.839996,110.500000,107.820000,109.500000,94.316231,30688100
2011-09-01,109.470001,111.029999,109.160004,110.110001,95.105453,21067000
2011-10-01,110.110001,110.529999,108.699997,110.029999,95.238129,23951700
2011-11-01,109.900002,110.339996,109.239998,109.379997,94.864182,24829200
2011-12-01,108.800003,110.639999,108.599998,110.250000,95.868805,27367900
2012-01-01,110.199997,111.070000,109.769997,111.050003,97.102203,23907100
2012-02-01,110.610001,111.050003,110.160004,110.760002,96.848618,22485100
2012-03-01,110.230003,110.620003,108.839996,109.849998,96.291382,22859700
2012-04-01,109.879997,110.739998,109.070000,110.599998,97.191879,20183200
2012-05-01,110.459999,111.620003,110.260002,111.559998,98.252838,20958500
2012-06-01,111.500000,111.870003,110.779999,111.300003,98.228134,24408700
2012-07-01,111.169998,112.709999,111.080002,112.589996,99.579048,16056200
2012-08-01,112.250000,112.500000,110.970001,112.370003,99.583992,19783400
2012-09-01,112.139999,112.459999,111.330002,112.449997,99.849991,27656000
2012-10-01,112.169998,112.410004,111.709999,112.190002,99.813675,21879600
2012-11-01,112.050003,112.330002,111.669998,112.250000,100.051239,23776700
2012-12-01,111.449997,111.839996,110.739998,111.080002,99.223267,19614500
2013-01-01,110.820000,111.099998,110.150002,110.389999,99.401222,27648300
2013-02-01,110.379997,110.839996,109.919998,110.830002,99.797409,21580400
2013-03-01,110.639999,110.779999,109.779999,110.730003,99.898285,23012400
2013-04-01,110.440002,111.680000,110.389999,111.540001,100.819176,23076200
2013-05-01,111.480003,111.500000,108.879997,109.110001,98.854874,22834600
2013-06-01,108.790001,109.089996,105.820000,107.209999,97.309669,30448100
2013-07-01,106.919998,107.690002,105.820000,107.300003,97.565712,17744300
2013-08-01,106.839996,107.269997,105.330002,106.209999,96.753288,17246900
2013-09-01,105.629997,107.360001,104.879997,107.199997,97.842079,17599000
2013-10-01,107.080002,108.209999,106.739998,107.900002,98.664909,20837600
2013-11-01,107.639999,107.650002,106.669998,107.440002,98.419670,21125300
2013-12-01,107.099998,107.120003,105.349998,106.430000,97.666428,39282700
2014-01-01,106.449997,108.070000,106.389999,108.070000,99.555099,35590100
2014-02-01,107.779999,108.370003,107.449997,108.269997,99.739372,19306000
2014-03-01,108.209999,108.379997,107.389999,107.910004,99.597588,23035100
2014-04-01,107.660004,108.620003,107.330002,108.589996,100.410690,22396300
2014-05-01,108.379997,109.830002,108.349998,109.669998,101.602341,25604300
2014-06-01,109.290001,109.500000,108.610001,109.400002,101.537323,20448400
2014-07-01,109.110001,109.550003,108.470001,108.930000,101.292290,21657000
2014-08-01,108.889999,110.120003,108.760002,109.980003,102.452255,30610000
2014-09-01,109.550003,109.629997,108.449997,109.110001,101.828766,28100000
2014-10-01,109.199997,112.080002,109.199997,110.080002,102.916512,55093100
2014-11-01,109.830002,110.620003,109.500000,110.610001,103.591446,29779300
2014-12-01,110.599998,110.680000,109.459999,110.120003,103.312752,44592100
2015-01-01,110.180000,112.519997,110.180000,112.379997,106.058502,53657600
2015-02-01,112.059998,112.230003,110.239998,111.199997,104.944870,38734100
2015-03-01,110.989998,111.750000,109.599998,111.430000,105.326897,53897300
2015-04-01,111.419998,111.800003,110.510002,110.860001,104.963692,30792000
2015-05-01,110.519997,110.529999,109.379997,110.169998,104.508270,35236800
2015-06-01,109.949997,109.989998,108.040001,108.779999,103.381805,41585000
2015-07-01,108.330002,109.510002,108.139999,109.500000,104.261017,41564500
2015-08-01,109.290001,110.339996,108.720001,108.919998,103.915131,51948300
2015-09-01,108.889999,109.629997,108.400002,109.580002,104.748558,47830600
2015-10-01,109.480003,110.150002,109.129997,109.449997,104.837959,62326600
2015-11-01,109.080002,109.190002,108.040001,108.809998,104.420273,67383500
2015-12-01,108.540001,108.860001,107.599998,108.010002,103.856560,70334400
2016-01-01,108.089996,109.480003,107.870003,109.349998,105.720726,71279700
2016-02-01,109.099998,110.500000,108.839996,110.089996,106.436180,56398500
2016-03-01,109.930000,110.849998,109.209999,110.830002,107.375526,62199000
2016-04-01,110.529999,111.050003,110.230003,110.889999,107.649284,63704400
2016-05-01,110.739998,111.260002,110.320000,110.699997,107.680046,52290800
2016-06-01,110.589996,112.690002,110.410004,112.620003,109.750771,52521200
2016-07-01,112.720001,113.269997,112.199997,113.019997,110.358063,59955700
2016-08-01,112.500000,112.860001,112.029999,112.570000,110.126427,63903200
2016-09-01,112.099998,112.760002,111.339996,112.419998,110.181190,52718600
2016-10-01,112.209999,112.250000,111.040001,111.300003,109.285004,53450500
2016-11-01,110.879997,111.320000,107.919998,108.239998,106.472809,57510300
2016-12-01,107.750000,108.379997,107.059998,108.059998,106.496460,78384600
2017-01-01,107.730003,108.930000,107.709999,108.290001,107.172157,69053100
2017-02-01,107.769997,109.059998,107.690002,108.769997,107.647186,52611600
2017-03-01,108.120003,108.709999,107.080002,108.489998,107.586723,58442500
2017-04-01,108.309998,109.699997,108.300003,109.250000,108.559975,46050300
2017-05-01,108.860001,109.809998,108.339996,109.760002,109.290390,45179700
2017-06-01,109.360001,110.239998,109.339996,109.650002,109.420235,50819600
