Date,Open,High,Low,Close,Adj Close,Volume
2008-07-01,40.775505,41.240280,38.459934,48.209999,40.011951,743400
2008-08-01,39.995350,41.514153,38.293957,47.320000,39.273289,719900
2008-09-01,39.273289,39.580372,29.753750,43.009998,35.696213,1610800
2008-10-01,34.517670,35.546810,24.068584,33.790001,28.044052,3581500
2008-11-01,28.757814,29.869949,22.076704,31.490000,26.135162,2968700
2008-12-01,25.662094,28.766113,23.861103,32.980000,27.371792,5222400
2009-01-01,27.549448,29.028000,23.698542,29.400000,24.558937,2530800
2009-02-01,24.224800,26.304796,21.969387,26.600000,22.219995,2075400
2009-03-01,21.910915,25.436041,20.348831,28.950001,24.183037,2912800
2009-04-01,23.631712,27.557800,23.631712,32.439999,27.098360,1748000
2009-05-01,27.348969,29.971935,26.989775,35.880001,29.971935,2101900
2009-06-01,30.038759,31.116344,28.501736,35.259998,29.454018,1561400
2009-07-01,29.930155,32.636650,27.933702,38.830002,32.436176,3090600
2009-08-01,33.045971,34.081787,31.592478,39.869999,33.304932,3410100
2009-09-01,33.254799,35.919533,32.352646,41.959999,35.050774,2895900
2009-10-01,34.925484,36.804989,33.413521,40.900002,34.165321,4532500
2009-11-01,34.357456,39.620090,33.939781,43.080002,35.986359,3237200
2009-12-01,36.654633,37.180885,35.543621,43.090000,35.994709,3126000
2010-01-01,37.090954,38.108768,34.520969,40.889999,34.682121,6440000
2010-02-01,35.029877,35.937431,33.274132,41.740002,35.403072,2728300
2010-03-01,35.538776,37.913689,35.521816,44.520000,37.761017,4694200
2010-04-01,38.151180,39.482826,37.150326,44.320000,37.591377,2608400
2010-05-01,37.744041,38.049400,32.171505,39.939999,33.876343,3736700
2010-06-01,33.579491,35.911980,32.604084,38.820000,32.926392,1727900
2010-07-01,33.087536,36.378490,32.493813,42.389999,35.954395,1687700
2010-08-01,36.624454,37.048550,33.995098,40.700001,34.520969,1467800
2010-09-01,35.233437,38.448036,35.157101,44.790001,37.990021,1777600
2010-10-01,38.329304,39.889957,37.761017,46.490002,39.431942,1884400
2010-11-01,39.482826,41.018032,38.193588,45.259998,38.388664,1930400
2010-12-01,39.143551,40.967140,39.118107,47.799999,40.543045,2407600
2011-01-01,41.675404,42.496799,40.767532,48.470001,41.908844,2547200
2011-02-01,42.271996,43.543011,41.978027,49.889999,43.136631,1429600
2011-03-01,43.326859,43.465191,39.738617,49.860001,43.110691,2646500
2011-04-01,43.344151,45.073418,42.150951,52.029999,44.986954,1631800
2011-05-01,45.177166,45.263634,42.176888,50.849998,43.966679,1614700
2011-06-01,43.862926,43.888863,40.975040,50.169998,43.378731,2302500
2011-07-01,43.361431,44.113682,41.805096,49.090000,42.444927,2191600
2011-08-01,43.119335,43.119335,36.046623,45.529999,39.366814,5501800
2011-09-01,39.427357,39.764557,34.343296,40.650002,35.147404,5916100
2011-10-01,35.017708,41.061516,33.435436,45.230000,39.107437,4280600
2011-11-01,37.931530,39.851017,35.233860,44.669998,38.623234,3442900
2011-12-01,38.510834,39.193897,36.409771,43.180000,37.334938,5228500
2012-01-01,38.961018,40.908627,38.341328,45.540001,40.315483,3663500
2012-02-01,40.784683,42.776554,40.722717,47.709999,42.236542,2866100
2012-03-01,42.395893,43.343132,40.899773,48.270000,42.732288,5626800
2012-04-01,42.696877,43.351990,40.740425,47.700001,42.227695,4256100
2012-05-01,42.139156,42.670326,38.128857,43.439999,38.456409,4431200
2012-06-01,37.934093,40.439423,37.349808,45.669998,40.430573,2982800
2012-07-01,40.492542,41.103382,38.907898,46.000000,40.722717,2319800
2012-08-01,40.926334,42.564087,39.917114,47.139999,41.731934,2458400
2012-09-01,41.758488,44.564819,41.475197,48.029999,42.519821,4248400
2012-10-01,43.243721,44.211262,42.473270,47.740002,42.768909,3203400
2012-11-01,43.010799,43.539352,41.057800,48.470001,43.422890,6043600
2012-12-01,43.709576,44.910046,43.252686,49.419998,44.273968,6369000
2013-01-01,45.497215,46.883320,45.152946,51.400002,46.566242,9996500
2013-02-01,46.874268,47.227585,45.624043,51.240002,46.421284,5334600
2013-03-01,46.203857,47.743984,46.067959,52.279999,47.363476,6645800
2013-04-01,47.468304,48.786102,46.414051,53.680000,48.786102,4933600
2013-05-01,48.631599,50.830975,48.258980,53.380001,48.513451,6230900
2013-06-01,48.577065,48.995136,45.214394,51.509998,46.813934,5370400
2013-07-01,47.593281,50.306610,46.997452,54.169998,49.655785,5099300
2013-08-01,50.169109,50.526627,48.354111,52.840000,48.436615,4948100
2013-09-01,49.059948,52.433277,48.757442,55.549999,50.920780,5131700
2013-10-01,51.244335,53.711731,50.222401,57.610001,53.039639,8107700
2013-11-01,53.030430,54.079998,52.358349,58.500000,53.859028,4791100
2013-12-01,53.812996,54.724461,52.385960,59.400002,54.687634,7187700
2014-01-01,54.671535,55.032921,52.262280,56.759998,52.595871,8755700
2014-02-01,52.744129,55.625969,51.456108,59.720001,55.338715,6144300
2014-03-01,54.606667,55.996628,54.041424,59.669998,55.292381,7562200
2014-04-01,55.813007,56.316242,54.088940,60.110001,56.018032,7717300
2014-05-01,56.120541,57.285442,55.682541,61.340000,57.164299,3961900
2014-06-01,57.304092,58.506264,57.089741,62.230000,57.993710,6207600
2014-07-01,58.660347,59.261219,57.383488,61.139999,57.402267,6181700
2014-08-01,57.392883,59.026505,56.416451,62.759998,58.923222,5176900
2014-09-01,59.035900,59.477158,56.388294,60.380001,56.688728,5999200
2014-10-01,56.674618,57.533035,52.608906,60.950001,57.495300,11440800
2014-11-01,57.438709,58.598984,56.750084,61.720001,58.221657,6429700
2014-12-01,58.051861,58.485783,54.844578,60.119999,56.712349,12610200
2015-01-01,57.105755,57.646812,55.064903,59.139999,56.137543,10092000
2015-02-01,56.498245,59.706654,56.090076,62.660000,59.478840,7004600
2015-03-01,59.526299,59.962940,57.324081,61.590000,58.463158,7976400
2015-04-01,58.947697,61.475796,58.413452,63.160000,60.254669,6947200
2015-05-01,60.626728,61.618896,59.720436,63.369999,60.455013,6004000
2015-06-01,60.722137,61.180054,58.422997,61.520000,58.690117,9658200
2015-07-01,59.891056,60.352272,57.517708,61.830002,59.410622,12632900
2015-08-01,59.429840,59.679661,51.022224,57.730000,55.471046,19873600
2015-09-01,54.923351,56.777836,51.935047,55.310001,53.145752,11646400
2015-10-01,53.837471,57.922363,53.064922,59.340000,57.304321,11352400
2015-11-01,57.526424,58.385895,55.691601,59.290001,57.256027,10651300
2015-12-01,57.478138,57.874073,54.416889,57.619999,55.643322,29610100
2016-01-01,55.004395,55.159912,49.007271,54.240002,52.720242,27634400
2016-02-01,52.399487,52.963238,48.929520,53.639999,52.137051,27185100
2016-03-01,52.681358,56.345726,52.584164,57.689999,56.073570,19906000
2016-04-01,55.620369,58.118408,54.859257,58.270000,56.859634,14559600
2016-05-01,57.035278,57.513416,55.269089,58.650002,57.230434,7907500
2016-06-01,57.045036,58.547764,53.424831,58.070000,56.664478,18085300
2016-07-01,57.173656,59.564087,56.003033,60.480000,59.495232,10151800
2016-08-01,59.426369,60.577320,58.639397,60.689999,59.701809,12168400
2016-09-01,59.810020,60.980644,58.226231,60.849998,59.859203,11550600
2016-10-01,60.008408,60.295151,58.416492,59.650002,58.980087,12886300
2016-11-01,59.098743,60.028183,57.744125,60.360001,59.682117,13366800
2016-12-01,59.682117,61.906849,59.296497,61.000000,60.314926,26900200
2017-01-01,61.212898,63.145412,61.003712,62.830002,62.587574,12630800
2017-02-01,62.826649,64.938469,62.497921,64.519997,64.271049,21832600
2017-03-01,64.789047,65.705498,63.992130,65.220001,64.968353,23085000
2017-04-01,65.290001,66.620003,64.470001,66.279999,66.279999,13028000
2017-05-01,66.470001,67.849998,66.099998,67.570000,67.570000,18571400
