Date,Open,High,Low,Close,Adj Close,Volume
2007-05-01,54.211105,54.318989,53.707619,7.477000,53.779545,1022300
2007-06-01,53.625191,53.625191,52.839909,7.428000,53.517147,2492000
2007-07-01,53.572342,54.027805,53.203587,7.473001,54.027805,966000
2007-08-01,54.001961,65.932350,53.835190,7.553000,54.778011,1423600
2007-09-01,54.826969,55.445930,54.652180,7.569000,55.118279,1655400
2007-10-01,55.033894,56.006218,54.982712,7.610000,55.633354,2761000
2007-11-01,55.724758,56.898842,52.363991,7.730000,56.722725,2247000
2007-12-01,56.899143,57.031700,55.978455,7.738000,56.994846,5547800
2008-01-01,58.071033,58.879837,57.069298,7.835000,58.137859,6056600
2008-02-01,58.204617,58.249134,56.683453,7.812000,57.967159,3624100
2008-03-01,57.802612,59.463703,56.983269,7.814000,58.204868,2598500
2008-04-01,58.138355,58.497288,57.158955,7.757000,57.996334,5606400
2008-05-01,58.070446,58.280628,57.162319,7.650000,57.417500,4610800
2008-06-01,57.280235,57.935783,56.526768,7.625000,57.453541,3182500
2008-07-01,57.356018,57.961071,56.743446,7.597000,57.454369,4079700
2008-08-01,57.792156,58.316017,56.941814,7.630001,57.928822,4312100
2008-09-01,58.192055,59.495522,57.460270,7.562000,57.643200,7663400
2008-10-01,57.586124,58.718605,51.265884,73.129997,55.956352,7302800
2008-11-01,56.179123,58.313869,56.056282,75.690002,58.121914,5414100
2008-12-01,58.384472,61.083168,58.060623,78.970001,60.890415,6217300
2009-01-01,60.931797,61.506786,59.836288,77.330002,60.084904,6851200
2009-02-01,59.875111,60.364628,59.206917,76.589996,59.509949,7350900
2009-03-01,59.499161,60.832836,59.054642,77.150002,60.169926,11491200
2009-04-01,60.331932,60.621521,59.846638,77.230003,60.449326,8966900
2009-05-01,60.314445,61.178558,60.118057,77.480003,60.864372,8474500
2009-06-01,60.800381,61.360058,59.878098,77.690002,61.241840,9014300
2009-07-01,61.082630,62.079323,61.019337,78.440002,62.047657,10956600
2009-08-01,62.021114,62.687843,61.187702,78.970001,62.679924,11247600
2009-09-01,62.641457,63.350243,62.522045,79.500000,63.310459,11055800
2009-10-01,63.440472,63.768078,62.969063,79.470001,63.496414,16676900
2009-11-01,63.550816,64.384377,63.198147,80.250000,64.320244,10009000
2009-12-01,64.372879,64.405045,62.981876,78.589996,63.190941,13827000
2010-01-01,63.598679,64.456406,63.550148,79.599998,64.407814,14948800
2010-02-01,64.245972,64.504944,63.825264,79.610001,64.415909,11337000
2010-03-01,64.552345,64.690308,63.992264,79.199997,64.284477,14325800
2010-04-01,64.294868,65.003075,63.822735,79.800003,64.962448,11841400
2010-05-01,64.878227,66.421555,64.404572,80.459999,65.702957,15644100
2010-06-01,65.726654,66.709465,65.521896,81.379997,66.652176,19428600
2010-07-01,66.756310,67.331360,66.476982,81.849998,67.241020,18792800
2010-08-01,67.233063,68.361717,67.150650,82.889999,68.287552,19117600
2010-09-01,68.225540,68.432083,67.514992,82.660004,68.291595,12817000
2010-10-01,68.254677,68.809677,68.113815,82.699997,68.511482,15738800
2010-11-01,68.646988,68.945999,67.500626,81.910004,68.040565,16326800
2010-12-01,67.770538,67.903801,66.237869,80.269997,66.862595,18661200
2011-01-01,67.330444,67.759506,67.035980,80.339996,67.591270,17786000
2011-02-01,67.296814,67.599686,66.480705,80.349998,67.599686,17407800
2011-03-01,67.426735,68.472916,67.139870,80.019997,67.511093,16171800
2011-04-01,67.410538,68.510201,67.283691,80.959999,68.484894,13854600
2011-05-01,68.595718,69.350731,68.451485,81.690002,69.299843,16679100
2011-06-01,69.440186,69.874016,68.912773,81.160004,69.040382,22211600
2011-07-01,69.127853,70.194153,68.991348,82.260002,70.168556,18741500
2011-08-01,70.177010,72.058685,70.151367,83.400002,71.331665,39035000
2011-09-01,71.455223,72.535812,71.223656,83.739998,71.815392,27045300
2011-10-01,71.964905,72.265831,71.122307,83.620003,71.896126,35970000
2011-11-01,72.235474,72.502731,71.675201,83.360001,71.856216,32152700
2011-12-01,71.812462,72.763008,71.579147,83.540001,72.192680,30913600
2012-01-01,72.791458,73.410942,72.573280,84.070000,73.349838,30348200
2012-02-01,73.157867,73.367279,72.782730,83.900002,73.201515,27683900
2012-03-01,73.020958,73.292114,72.233841,83.279999,72.837341,24292100
2012-04-01,72.805382,73.585587,72.454704,83.919998,73.568077,20942700
2012-05-01,73.724731,74.445984,73.513649,84.510002,74.331635,27779400
2012-06-01,74.579620,74.641365,74.059502,84.379997,74.385681,30153800
2012-07-01,74.443733,75.415604,74.417252,85.230003,75.300774,22433200
2012-08-01,75.273216,75.450302,74.378876,85.180000,75.423683,27288900
2012-09-01,75.385468,75.598434,74.773163,85.150002,75.562958,26808800
2012-10-01,75.548668,75.664261,75.130684,84.889999,75.495285,24977100
2012-11-01,75.507278,75.837013,75.373650,84.940002,75.694443,23247800
2012-12-01,75.480560,75.783562,74.758713,84.029999,74.883484,29653700
2013-01-01,74.807785,75.022064,74.334549,83.449997,74.513130,29578400
2013-02-01,74.504227,74.825653,74.155975,83.730003,74.763145,25419600
2013-03-01,74.813721,74.858475,74.169579,83.639999,74.831627,27311700
2013-04-01,74.648621,75.518074,74.648621,84.180000,75.455345,22783300
2013-05-01,75.660431,75.741417,73.942116,82.400002,74.131020,24522300
2013-06-01,74.003578,74.273994,71.921379,80.879997,72.903885,35923100
2013-07-01,72.851448,73.420464,72.146950,81.019997,73.176590,31657200
2013-08-01,72.947868,73.309898,72.042824,80.160004,72.549644,20819700
2013-09-01,72.453743,73.415077,71.773560,80.879997,73.351547,19963500
2013-10-01,73.299362,74.153671,73.135773,81.400002,73.981003,25314800
2013-11-01,73.920090,73.947403,73.255203,80.980003,73.756134,28518500
2013-12-01,73.628410,73.701439,72.934662,80.050003,73.071571,35331500
2014-01-01,73.495674,74.624268,73.440613,81.290001,74.587555,45342900
2014-02-01,74.431564,74.835266,74.137955,81.500000,74.780251,43163600
2014-03-01,74.882706,74.965439,74.303406,81.190002,74.652840,43697100
2014-04-01,74.580353,75.252983,74.368416,81.650002,75.234558,38381600
2014-05-01,75.272476,76.288445,75.244781,82.330002,76.039085,26081200
2014-06-01,75.955299,76.121925,75.529488,82.220001,76.103416,30022100
2014-07-01,75.990929,76.334145,75.601326,81.820000,75.898178,29997000
2014-08-01,76.020081,76.819511,75.908554,82.580002,76.763771,53751100
2014-09-01,76.618050,76.627388,75.835579,81.930000,76.319984,56554000
2014-10-01,76.523109,78.483528,76.476410,82.360001,76.887184,71537200
2014-11-01,76.888893,77.543686,76.711205,82.870003,77.515610,33373700
2014-12-01,77.622551,77.781898,76.722702,82.370003,77.210083,80150900
2015-01-01,77.779541,79.591225,77.770103,84.349998,79.591225,71128200
2015-02-01,79.213776,79.430824,77.788979,83.080002,78.392868,57846000
2015-03-01,78.437721,79.042847,77.558434,83.370003,78.825378,58961600
2015-04-01,78.979378,79.254112,78.221504,82.910004,78.543625,48719700
2015-05-01,78.391640,78.458092,77.622528,82.339996,78.182732,53287900
2015-06-01,78.190262,78.190262,76.896454,81.260002,77.305519,46263900
2015-07-01,77.089920,78.005051,77.051804,81.809998,77.985962,40358000
2015-08-01,78.037666,78.734909,77.665131,81.440002,77.789314,44466100
2015-09-01,77.902489,78.428917,77.529190,81.930000,78.419350,37313400
2015-10-01,78.543076,78.974686,78.236153,81.790001,78.447174,33309500
2015-11-01,78.268127,78.364265,77.605011,81.300003,78.133583,37498000
2015-12-01,78.170166,78.439827,77.496048,80.760002,77.775330,49802600
2016-01-01,78.186493,79.163925,78.099380,81.730003,79.096191,53253300
2016-02-01,78.892960,79.918816,78.709084,82.250000,79.599434,41844900
2016-03-01,79.691681,80.419044,79.187355,82.809998,80.312378,40037600
2016-04-01,80.318336,80.804222,80.114258,82.970001,80.629288,41406400
2016-05-01,80.613068,81.080505,80.359863,82.800003,80.632530,39045800
2016-06-01,80.733681,82.363197,80.597084,84.300003,82.255867,39942300
2016-07-01,82.560982,83.030281,82.081886,84.639999,82.756538,39476500
